"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"GGY",2018,0.10072524368923612,39.403605900727605
"GHA",2018,151445.59492735653548410,89850841.080288396167540
"GIN",2018,182895.35655218974998328,81916303.431021183331072
"GLP",2018,100.89858279946665359,46688.160765504421828
"GMB",2018,6.14594194131239205,1645.465750398756604
"GNB",2018,14394.17075915071888703,6134984.980680985115414
"GNQ",2018,7823.43708744648365332,5103188.363548021196851
"GRC",2018,7122.192617683169265754,1810582.3573301928166959
"GRD",2018,109.80815758138184804,65350.246295743261870
"GTM",2018,71160.90213538356146958,35958268.573196923600020
"GUF",2018,3738.71120370423368488,2843436.892359438053504
"GUY",2018,11760.82237850939419027,7640845.503565987204881
"HKG",2018,156.17948805270301073,56863.315279159865348
"HND",2018,76254.10503903571181467,39537053.236442518056013
"HRV",2018,8285.340237986673875086,4239302.5291431672461795
"HTI",2018,4131.55180499139596756,1980255.312391382397061
"HUN",2018,13798.781036617464142333,5654591.228939918789196
"IDN",2018,1218732.51605522482499590,760465572.956481453587593
"IMN",2018,11.8365186183094602,4402.1732037971587
"IND",2018,132232.99302253936100320,68457388.1385821206901800
"IRL",2018,8380.343070775255518439,4201508.773143975871976
"IRN",2018,67.98958789365451070,14059.736098161316042
"ISR",2018,39.65515358359266876,11536.398543967453354
"ITA",2018,38843.510521611993337553,14193155.4029445620782582
"JAM",2018,2232.63611540212006173,1208388.614478529091447
"JEY",2018,0.050615393459201394,33.832471031976487
"JPN",2018,50506.949507055909166020,23886073.6408420659797400
"KAZ",2018,1138.887814857113722480,384748.6847121715593028
"KEN",2018,15908.41523844700967359,8218926.271212382303582
"KGZ",2018,17.37103547119141167,1389.151718672372486
"KHM",2018,113205.22828334490421121,64990072.685800373598303
"KNA",2018,4.85461569453993053,2616.330974098012161
"KOR",2018,21850.013081135139855261,7703071.594336728113406
"LAO",2018,294666.25123518045410387,146827358.165725369032013
"LBN",2018,255.74116844648766050,82832.5876106967416526
"LBR",2018,204932.54481372280086109,120226572.004000025470669
"LBY",2018,2.92231886577473951,683.781200485495925
"LCA",2018,33.78015339789497006,19136.137978669579486
"LIE",2018,6.53502489818142403,3234.36060780375862
"LKA",2018,13160.93807779812733338,5090183.700028830125672
"LSO",2018,7.72213771004340330,2310.64368084127535
"LTU",2018,19749.622186166604965028,7277698.968913721650509
"LUX",2018,457.782299683658662490,277826.3849635851801545
"LVA",2018,46923.478073976171095884,16660967.5539326253968285
"MAC",2018,0.8568299275054254,0.0
"MAR",2018,2078.08111842495509911,765086.3522503079812185
"MDA",2018,861.586295646909779469,306345.3639793103255302
"MDG",2018,366619.93619630935024453,187724173.297573162695096
"MEX",2018,267150.72107448541525444,120265805.4311713128199963
"MKD",2018,1542.93131280336425260,673750.3336984489474716
"MLI",2018,298.7991857720193969,99475.756384979193626
"MMR",2018,278708.79704301739698508,150360811.340950571110699
"MNE",2018,1652.242790739477641679,736222.122168037962560
"MNG",2018,9224.636599563447751641,1380346.6468304043063409
"MOZ",2018,172397.98182822102425581,62780797.138443385175671
"MRT",2018,0.0,287.576878722083748
"MSR",2018,9.4428053701996543,5189.352794890460212
"MTQ",2018,51.24024817145400157,24077.854089154861037
"MWI",2018,15487.12800912543033993,6370314.783956180115473
"MYS",2018,437984.51802192663169494,223560087.1371454798849015
"MYT",2018,72.58350490233127640,39107.625529796868860
"NAM",2018,7.93315108103733344,2266.181345424052542
"NCL",2018,3069.44107184365249610,1550115.347379939673668
"NGA",2018,119822.45678833704856238,69099611.737422209595486
"NIC",2018,71374.94319401968639952,41012015.978747706253474
"NLD",2018,1271.228541198869908830,587838.6243862433949101
"NOR",2018,59219.625141724324447812,16572559.7552558118720924
"NPL",2018,1672.11661051246123883,902259.135483787599263
"NZL",2018,79228.400568360437152751,56074094.5654028826518093
"PAK",2018,75.56168923288519220,23787.832908081046831
"PAN",2018,27960.87248981360446544,16188779.444117679190565
"PER",2018,211726.02889161862199800,134771027.098241800641117
"PHL",2018,70533.57132282294048712,40564651.5817608146994625
"PLW",2018,3.89126619202826631,2933.483177770590355
"PNG",2018,117935.02736154854832572,92846756.216374262814637
"POL",2018,96845.846244051415463226,39885607.4578812347622740
"PRI",2018,1227.87992786876546339,715189.820873963694561
"PRK",2018,7691.718377830069133312,2323993.198817961568614
"PRT",2018,97436.897795360034512199,31634175.6316667493330887
"PRY",2018,258779.66180918507836392,64450030.967066816319544
"PSE",2018,2.02768764523546048,782.511386073669666
"ROU",2018,18974.177551254640980287,10337117.3977683442098185
"RUS",2018,5560430.925395728380476615,1101520438.08302595637165403
"RWA",2018,4290.99846704087885394,3512078.344026166842747
"SDN",2018,16.11576282175781687,4696.06725031088789
"SEN",2018,300.94409676495813675,96109.776726147041622
"SGP",2018,289.02683051019665499,123040.242918730641290
"SLB",2018,17825.00856334244699707,14227075.469574826796208
"SLE",2018,188217.43912998713605556,93163127.022232280050611
"SLV",2018,2703.64644568559750382,1363934.431757471143363
"SMR",2018,0.22314501609375,56.95430170028166
"SOM",2018,43.96594224073670604,9999.109464978770725
"SPM",2018,0.21227850369357637,0.0
"SRB",2018,3966.438140767205078120,2082381.750468087551083
"SSD",2018,2640.93805290876183477,1099400.105601983625474
"SUR",2018,19000.90114784526121978,15152779.373907297604312
"SVK",2018,17698.550916022613850200,9965458.221210268191803
"SVN",2018,8236.427724768900541655,4894222.426099596322211
"SWE",2018,290151.413501039679895126,79228762.9857692532225909
"SWZ",2018,1919.91878736203406726,1361000.670608199164015
"SYR",2018,903.42889385926556033,255272.5567107581052865
"TCA",2018,36.12955168661892236,9700.541564000634445
"TCD",2018,6931.78333732770865848,2071881.772579047119462
"TGO",2018,6783.64972329004480907,3706112.408996071149905
"THA",2018,133532.58104158357281500,85636608.074085657444715
"TJK",2018,0.1800544646527778,26.128929508304353
"TLS",2018,1243.59891084651307088,625857.291265066933972
"TTO",2018,947.23956202933480179,553551.726626165878230
"TUN",2018,902.670347580591597534,318139.2977180718815658
"TUR",2018,35668.330839898939457764,12681781.4112081080460635
"TWN",2018,1901.45037543690389654,1094595.280892797642751
"TZA",2018,171708.21639600646293391,60179783.432608501999205
"UGA",2018,86229.84192432976427370,38618382.816609465013172
"UKR",2018,74423.431696416238068623,31348375.7017323747199179
"URY",2018,19527.97031004151071195,19380157.3697425718632100
"USA",2018,2092359.472443168711534898,946529557.38756867139676598
"UZB",2018,0.466104254073350725,190.1860161644814061
"VCT",2018,17.01207724403702647,11306.692549203914486
"VEN",2018,112107.31767694311404082,56248101.240433239294364
"VGB",2018,6.21236764107638952,2670.969873806924659
"VIR",2018,45.39200020479275302,18801.044891029195051
"VNM",2018,225154.89131662698371849,183685264.956257576613197
"VUT",2018,1031.35033539519012557,733364.633120749427264
"XAD",2018,0.82636869825520837,338.529882714335220
"XCA",2018,0.4361545908680556,0.0
"XKO",2018,593.894051194053613844,335387.2082098557460008
"XNC",2018,17.55400599597873252,6026.350264193435443
"ZAF",2018,63666.75379640915691785,43776655.4836233116641646
"ZMB",2018,143944.22807052287227473,52189257.672150461993428
"ZWE",2018,6557.17651257326367853,3469138.432425542561095
"AFG",2019,17.11506675814453238,3686.5545571163111444
"AGO",2019,175098.37018363208254344,62429965.018344478917201
