"iso","umd_tree_cover_extent_2000__ha","area__ha"
"PAN",5700499.75915406369932771,7510419.90445371905206346
"PER",78087222.68306331559588268,129281868.51759689429250270
"PHL",18599416.94134115245365502,29585658.16289537711289230
"PLW",41263.46520917851066935,48743.20538078764603242
"PNG",42921809.05075390024085292,46363061.21418387992259323
"POL",10439489.725115064962918352,31239917.800095192786059345
"PRI",523696.33607200391137904,897037.27464476444667732
"PRK",5196389.714276580492067739,12275519.138588527877896381
"PRT",2302481.424513359455440653,8955505.678182672110995742
"PRY",24296867.55250758782904070,39958667.52153058269309972
"PSE",614.76689884244836687,621996.68332012093102471
"QAT",0.0,1162493.79962663973427688
"REU",170474.5250729176065367,251271.1050147123414637
"ROU",7915161.125357479993957887,23833793.638779323546450444
"RUS",761226496.941587352616536835,1689455451.854780970657220876
"RWA",497885.77544611248912074,2527769.91218258698242327
"SAU",6.80771239235242946,191598433.63238533048418675
"SDN",72712.56006031972902397,187213491.71256388776806014
"SEN",39568.36253797181547535,19688982.71259427441557839
"SGP",18784.23099652343880454,69703.69605878672495307
"SJM",0.0,5442472.3736774258488
"SLB",2741617.78668098464264740,2853324.00584824257262333
"SLE",5617878.28584864704598271,7260135.88614820091004599
"SLV",988823.30823610880805030,2042272.85894925286997022
"SMR",829.54043271587899166,6122.35296018708967514
"SOM",87128.07478370831436767,63353849.52120415161821612
"SPM",5454.071972223096188926,22663.41677143735505112
"SRB",2730300.360427929494940890,7823140.491428649668869485
"SSD",11386560.10479193393708234,62809870.69840497583125368
"STP",14213.57470684864161004,100217.9877254075421418
"SUR",13949809.56768379686065332,14642556.86529207792506495
"SVK",2397197.266002818338585648,4909915.804720551358388094
"SVN",1293520.687201151156774194,1998090.785493087369951678
"SWE",27883714.002104435238069039,45004558.106551894870939436
"SWZ",469227.38864805258201613,1738333.06301442523634948
"SXM",1022.17978238478079093,3801.38751521773779251
"SYC",6209.6246193931163913,20267.93208728938039234
"SYR",105939.86933258708076004,18691798.392134480389363075
"TCA",10851.31188484850138867,99152.01584845846856035
"TCD",409749.29467145891299602,126995174.50107455105790916
"TGO",558803.51325537549437560,5699519.20201755765932393
"THA",19962441.08856437907942932,51405448.59427812257515682
"TJK",60256.648494327338679492,14211295.405720144784992797
"TKM",10176.935689059624678079,48959209.554215404385860629
"TLS",726234.45140169164617275,1491565.39233700746922697
"TTO",391844.28193397773445722,515899.59454435671376294
"TUN",223827.619878471741492302,15486458.270952984064788980
"TUR",10060827.805633446948578251,78070340.890014639857096796
"TUV",0.0,49.9008349886126798
"TWN",2342180.54739476470518410,3640651.39732426549509119
"TZA",26406465.77484014793612082,94057690.73100661920319871
"UGA",7764958.85456232810653237,24143952.93930407894601738
"UKR",11133284.652451837965524474,60136109.708216557442606306
"UMI",145.8981168277604857,541.67976280499887081
"URY",1697322.42308113395185469,17746574.34434811698245577
"USA",279376627.649932508152059858,947295610.248258868889210765
"UZB",106176.257291830359973197,44755388.10019688079286531
"VAT",4.838481851469183554,52.878039684036308838
"VCT",29110.61416116643163427,39788.97162863021332170
"VEN",56533524.97089861751319974,91249225.52623404514817915
"VGB",7463.88088378356884539,16932.04449944611883054
"VIR",18997.90728331078297257,36213.91572681737393991
"VNM",16551332.11341411882955462,32927599.94752556477880242
"VUT",1181152.06497088809533133,1231886.10315649848582940
"XAD",455.93756603192600390,23448.38132255781165624
"XCA",141764.268407921534754949,37158133.711558066231264901
"XCL",0.0,1008.639098371928953
"XKO",370224.383966758614086575,1091976.447945982643475743
"XNC",12307.27552925240904218,331406.91415765834075750
"XPI",0.0,1969.2127161159838
"XSP",0.0,188.15293746538872091
"YEM",126.1637233351827867,45220898.29137349563711805
"ZAF",5983115.28501282105967190,121971018.80353554471217261
"ZMB",24050819.11173341386177967,75049201.88692210869019557
"ZWE",1414326.42467242174408765,39068111.13497859662159988
